Schlagwort;Idee;Problem;Lösung
Barrierefreiheit;Leichte Sprache in Verwaltungen ;;
Barrierefreiheit;Dolmetscher-Service ;;Dolmetscher-Service bei der Stadt und im Klinikum und bei den Beratungsstellen
Verwaltung;Mehr Abfalleimer;;
Verwaltung;Abfallkampagne Aufklärung Mülltrennung Flüchtlinge;;
Digitalisierung;Eine Webseite mit allen Kursen und Veranstaltungen für Kinder ;;Eine Webseite mit allen Kursen und Veranstaltungen für Kinder 
Kultur;Kulturangebote demokratisieren;;
Digitalisierung;Website zur Vereinsübersicht;Keine Übersicht von Vereinen in der Stadt – man kann nirgendwo außer VHS nach Sportarten, Hobbys, Altersgruppen, Beschäftigungen suchen. Ohne genau zu wissen ist es schwer zu finden, was es in Bamberg gibt. Die Webseite von VHS ist gut aufgebaut, aber warum nicht zentrale Dienst für alle Angebote in Bamberg?;
Digitalisierung;Website für Ubungsräume für Kunst- und Kulturschaffende;Es fehlt eine Webseite oder eine App, wo man Räume für Proben und Kulturveranstaltungen anbieten, suchen und buchen kann. Es kann auch eine private Garage sein! Angehende Künstler haben keinen Platz;
Verwaltung;Familienratgeber ;;Familienratgeber – man soll alle Informationen an einem Ort finden können
Kultur;Mehr Kulturangebote für Kinder UND Familien;;
Verwaltung;SMS-Service für Arztpraxen;SMS-Service für Arztpraxen. Mitteilen wie lange Wartezeiten sind (nicht 1 Stunde in der Praxis sitzen, sondern noch einkaufen gehen usw) – wichtig auch fürs Parken;
Digitalisierung;Online-Anmeldung zu Terminen für medizinische Dienstleister;Ärzte sollen längere Sprechstunden anbieten und Online-Anmeldung zu Terminen anbieten, so dass man einen Termin auch online schnell stornieren kann (anrufen dauert so lang). Dasselbe für Termine für Sport, Physiotherapie.;
Mobilität;;Unterführungen sind für Fahrradwege nicht geeignet! Oft lebensgefährlich, nicht genug Platz für Bus und Fahrrad- Bamberg braucht ein extra Fahrrad-Tunnel;
Mobilität;Eine Ringlinie Bamberg-Ost und Gaustadt oder Gereuth ;Eine Ringlinie fehlt - Ost und Gaustadt oder Gereuth und Starkenfeld sind nicht weit weg voneinander, aber mit dem Bus dauert es ewig ;
Mobilität;Anreize für häufige Benutzung des ÖPNV;;für häufiges Bus fahren gibt es Gutscheine oder eine Fahrt gratis (wie Kaffeekarten mit Stempeln bei Bäckereien). Gutschein kann auf dem Ticket sein und man soll irgendeine eigene Nummer eintragen. Dann werden Tickets nicht auf der Straße weggeworfen und es bigt Motivation, Bus zu fahren).
Crowdsensing;;Autos stehen auf Fahrradwegen;Meldesystem – App? Strafe?
Verwaltung;Alternative Energien – ein qualifizierter Ansprechpartner ;Alternative Energien – ein qualifizierter Ansprechpartner bei Stadtwerken fehlt! Wir brauchen ein vereinfachtes Genehmigungsverfahren insb. Bei gebrauchten Geräten für Eigengebrauch.;
Verwaltung;Bamberg ist kein Müllberg;Die Vermüllung der Stadt und Grünanlagen nimmt zu, Müllabfuhr kommt nicht hinterher. Müll sieht nicht nur hässlich aus, er gefährdet auch Gesundheit, lockt Ratten und Ungeziefer, ist äußerst gefährlich für wilde Tiere und Vögel (Tiere bleiben in Plastiktüten stecken und ersticken, vergiften sich an Lebensmittelreste, schmieren sich mit Dreck...) ;"Eine allgemeine Plattform für Anti-Müll-Aktivisten und zuständige Dienste fängt eine Offensive gegen Müll aus folgenden Bestandteilen: Aufklärung und Werbung )auch in Social Media, auf verschiedenen Plattformen usw), Aktionen zum sauber machen (Wettbewerbe, gemeinsame ""sauber- machen""-Ausflüge, Plogging, Geocaching von Sperrmüll) Aufklärung in allen Bildungsangeboten bei allen Bildungsträgern, strenge Kontrollen und Geldstrafen, vereinfachte Procedere von Müllabgabe und Müllentsorgung für ""Müll-Sammler"", Preise und Auszeichnungen für Aktivisten..."
Stadtgestaltung;;"Volleyball für 17 jährige suche in jedem einzelnen Verein
Lange Wartelisten z.b. bei kindersportschulen ";"Plattform für verschiedene Sportarten Zentral
Sportnachmittage an denen jeder einfach dazu kommen kann "
Stadtgestaltung;Gesundheit durch Sport;Kennenlernen von Sportangeboten ;"Trimm dich Pfad erneuern
Walking Strecken beschildern
Sportflächen schaffen "
Mobilität;Mobilität und Verkehr ;"Zunehmender Autoverkehr
Wenn Nutzung der ÖPNV dann oftmals umständlich und zeitraubend ";"BR 31.7. Mobilität ohne Autos sehr guter Beitrag am Beispiel Leipzig
Car Sharing
Bike Sharing
Sammeltaxis günstig - Studenten fahren mit privat pkws Bezahlung übers Handy wird Günstiger wenn mehrere Personen mitfahren "
Digitalisierung;Smarte Wertstoffinseln;Wertstoffinseln (insb Altglascontainer) werden regelmäßig geleert. Oftmals sind Wertstoffinseln aber entweder früher überfüllt oder hätten noch Platz. Das heißt, die Leerung ist nicht am Füllstand orientiert, sondern an Zeitplänen. ;Sensoren in Containern erkennen den Füllstand (bspw via Ultraschall) und übermitteln diesen an eine zentrale Koordination. Dadurch werden Container geleert, wenn der richtige Zeitpunkt gekommen ist. 
Digitalisierung;Smarte Straßenbeleuchtung;Straßenbeleuchtung verursacht Stromverbrauch und Kosten. ;Sensoren an den Straßenlampen sorgen dafür, dass diese nur aktiv sind, wenn auch jemand in der Nähe ist. 
Digitalisierung;Kommunale Solarliga;Der Ausbau der Erneuerbaren Energien im Stadtgebiet geht nicht schnell genug voran, es gibt weiterhin viele ungenutzte Potentiale, insb auf Dachflächen.;Eine Online-Liga, in der lokale Unternehmen etc mit ihrer selbst produzierten Menge Erneuerbarer Energien gelistet sind.
Digitalisierung;Smarte Ampeln;An vielen Ampeln richtet sich die Schaltung nicht nach Auslastung/Bedarf. Man steht oft unnötig an leeren Ampeln (z.B. Pödeldorfer Str.), an denen längst alle durchgefahren sind. Auch bei Kreuzungen mit Baustellen und gesperrten Straßen wird die Ampelschaltung nicht umgestellt. Ampeln sind außerdem häufig bis in die Nacht angeschaltet, obwohl niemand mehr unterwegs ist. ;Intelligente Ampelsysteme, die die zu der Uhrzeit/Tageszeit typische Auslastung errechnen oder die Auslastung in Echtzeit erkennen und die Ampelschaltung entsprechend anpassen. 
Digitalisierung;VHS.daheim - online-gestützte Lehr- und Lernangebote ;Volkshochschulen sind Orte der Begegnung, des Austauschs und der Integration. Jährlich nehmen rund zwei Millionen Menschen in Bayern die Angebote der bayerischen Volkshochschulen wahr. Rund 50.000 Teilnehmende verzeichnet allein die VHS Bamberg Stadt, 30.000 Bamberg Land. Die Aussetzung des Präsenzkursbetriebs durch die Allgemeinverfügung der Bayerischen Staatsregierung trifft auch die Volkshochschulen, die Dozentinnen und Dozenten und v.a. ihre Teilnehmerinnen und Teilnehmer hart. ;Die Etablierung des überregionalen Programmes VHS.daheim ermöglicht Begegnung und gemeinsames Lernen auch während der aktuellen Gesundheitskrise mit ihren notwendigen Ausgangsbeschränkungen und der gebotenen „sozialen Distanzierung“. Die Entwicklung online-gestützter Lehr- und Lernangebote und die Qualifizierung des vhs-Personals und der Dozentinnen und Dozenten ist dazu ein wichtiger Schritt. Dazu sollten die VHSen Bamberg Stadt und Land entsprechend geschult und technisch ausgerüstet werden. Ausstattung in Altenheimen, Smarthomes etc. ist sinnvoll. Auch ist dazu Beratung nötig.
Mobilität;Förderung der Mobilität durch öffentliche Verkehrsmittel;Gerade in der jetzigen Zeit ist es wichtig darauf aufmerksam zu machen das Auto stehen zu lassen und auf umweltfreundlichere Alternativen umzusteigen. Sollte es nicht möglich sein das Fahrrad zu nehmen, stößt man auf eine Vielzahl an Apps und Portale verschiedener Anbieter, die die Suche nach der passenden Lösung nicht ganz einfach machen.;Eine App integriert verschiedene Mobilitätsdienste wie ÖPNV, Carsharing, Leihräder, eScooter und Mitfahrgelegenheiten in einer mobilen Applikation. Dadurch vergrößert sich die Auswahl möglicher Routen und Verkehrsmittel.
Digitalisierung;Bamberg wird sicher(er);"In den Medien präsenter denn je: laut dem Bundesministerium für Familie, Senioren, Frauen und Jugend wird jede siebte Frau in Deutschland in ihrem Leben Opfer von sexueller Gewalt oder Vergewaltigung. Eine Umfrage der Zeitung ""Die Zeit"" gaben 43 Prozent der befragten Frauen an, schon einmal sexuell bedrängt oder belästigt worden zu sein. Ein sensibles Thema das nicht nur Frauen betrifft. Gerade nachts auf dem Nachhauseweg oder an verlassenen Orten kommt ein mulmiges Gefühl auf oder man fühlt sich oder wird bedroht.";"Eine App die verschiedene Lösungen integriert, um das Problem zu lösen oder zu mildern.
Erste Ideen:
- Um Angreifer abzuwehren, soll ein Lichtsignal und Lautsignal ausgesandt werden können. Gleichzeitig können Opfer so auch auf sich aufmerksam machen
- Chatfunktion, um mit anderen Nutzern zu kommunizieren
- Eine Tracking-Funktion, mit der man Wege des Nutzers nachvollziehen kann
- Das Absenden von ""stillen"" Alarmen soll ermöglicht werden (Notfallkontakt)
- Hilfe-Telefon"
Verwaltung;IDEE von der Begegnungsstätte OASE: Bürgerbüro mit Endgeräten und geschulten Helfern;Viele Menschen in Bamberg sind von der digitalen Entwicklung abgeschnitten. Sie haben kein Geld für teure Smartphones oder PCS und sind auch nicht geschult worden solche Techniken anwenden zu können. Zudem fehlt Ihnen Geld für Internet. Die digitalen Angebote der Stadt können sie deswegen gar nicht nutzen. Auch sind diese vielen nicht bekannt. ;Die Stadt Bamberg betreibt ein stets geöffnetes, zentrales Bürgerlabor in dem genug Endgeräte (PCs, Laptops, Tablets, Smartphones usw.) zur Verfügung stehen. Es ist ein Infopunkt mit Sitzmöglichkeiten und geschultem, freundlichen Personal, welches den Bürger:innen mit Rat und Tat zur Seite steht. Es informiert über die digitalen Möglichkeiten der Verwaltung und hilft den Menschen gerne bei der Umsetzung. Ein freies WLAN gibt zudem allen Bürger:innen die Möglichkeit selbst ihre Anliegen zu erledigen. 
Digitalisierung;IDEE von der Begegnungsstätte OASE: Digitale Litfaßsäule ;Viele wichtigen Informationen und Angebote erreichen die Bürger:innen und Besucher:innen der Stadt nicht. ;Es stehen mehrere zentrale Litfaßsäulen mit Touch Screen in der Stadt. Dort finden wir alle wichtigen und interessanten Informationen, die die Stadt betreffen (öffentliche Toiletten, Kulturangebote, Ämter, Busverbindungen, soziale Hilfen usw. ) 
Stadtgestaltung;IDEE von der Begegnungsstätte OASE: Gemeinschaftsküche;Es gibt viele Menschen, die unter Einsamkeit leiden. Dazu haben viele nicht die Möglichkeit sich teure Küchengeräte wie hochwertige Mixer, Gasgriller usw. selbst anzuschaffen. Diese Geräte werden zudem selten gebraucht. ;Die Stadt stellt eine gut ausgestattete Küche mit Essmöglichkeiten den Bürger:innen zur Buchung zur Verfügung. Für Menschen mit wenig Einkommen kostenlos. Es wird eine Plattform geschaffen, auf der sich Interessent:innen melden können und mit Gleichgesinnten in Kontakt treten können. Es wird ein Koch- Essdate verabredet. zudem gibt es einen digitalen Ordner in dem einfach und komplizierte Gerichte und Zutatenlisten zu finden sind. Auch gemeinsame Weihnachtsbäckereien sind möglich. Lokale Lebensmittel werden verarbeitet. Zusammenarbeit mit sozialen Trägern in Bamberg zum Begleiten und Unterstützen der Organisation ist denkbar. 
Verwaltung;IDEE aus der Bürgerschaft: Materialpool Bamberg;Viele Dinge wie Kameras, Werkzeuge usw. braucht man nur selten und sie sind oft teuer in ihrer Anschaffung. ;Ein Materialpool aus dem man sich Dinge ausleihen kann. Nach einem Büchereiprinzip werden so Ressourcen geschont und viele große und sperrige Dinge stehen nicht rum, sondern werden auch genutzt und können nach Belieben ausgeliehen werden. Ganz nach dem Vorbild: Haus der Materialisierung in Berlin https://www.tu.berlin/themen/transfer/20...
Digitalisierung;IDEE aus der Bürgerschaft: Virtueller Stadtrundgang/Stadtführung;Bamberg digital erlebbar machen.;"Virtuelle Stadtführungen /Rundgänge mit z.B. Videos von früher, die an wichtigen Orten mit QR-Code abrufbar sind. Außerdem liefern die Codes Informationen zu Gebäuden, Wahrzeichen etc. Es wären verschiedene Sprachen möglich und es kann auch als Audioguide konzipiert sein.
Theoretisch kann man auch spezielle themenbezogene Touren (Kirchen, Brauereien, Gärtnereien usw.) anbieten. "
Verwaltung; IDEE aus der Bürgerschaft: Digitale Obstkarte zum Ernten;Es gibt viele öffentliche, aber auch private Obstbäume, die selten oder kaum geleert werden. Das ganze Obst fällt auf den Boden, wird faul und ist nicht mehr genießbar. ;"Eine digitale Karte, auf der die Stellen verzeichnet sind, an denen in Bamberg Obst gepflückt werden darf und Beete der essbaren Stadt stehen.
Dies kann für die Obstbäume der Stadt auf der ERBA gelten und um private Einträge ergänzt werden.
"
Barrierefreiheit;Idee aus der Bürgerschaft: Betreutes Internet-Café;Viele Bürger:innen haben immer noch Unsicherheiten, wenn es um Digitalisierung und das Internet geht.;Im Rahmen des Smart Surfer Kurses der KAB kam die Anregung: Wir wünschen uns ein betreutes Internet-Cafe speziell für Leute, die Berührungsängste und Unsicherheiten in Bezug auf Internet haben mit der Idee des Austausches und der gegenseitigen Unterstützung.
Stadtgestaltung;;Zu wenige öffentliche und saubere sowie keine nachhaltigen Toiletten im Stadtraum;Installation von smarten Toiletten, wie Feststofftoiletten, mit dem Ziel Ressourcen zu sparen oder sinnvoll zu verwerten.
Verwaltung;Idee aus der Bürgerschaft: Digitales Begrüßungspaket für Neubamberger:innen;"In einer neuen Stadt muss man sich erst zurecht finden und weiß noch nicht genau, was es alles gibt, wo man etwas findet, was die Freizeitangebote sind usw. Es sollten dabei Wahlmöglichkeiten bestehen zwischen analoger und digitaler Erledigung; eine App mit Angeboten von ""Alternativem"".";"Digitales Begrüßungspaket mit den wichtigsten Links und Stellen in optisch ansprechender Form und einfache Bedienung.

"
Verwaltung;eine Stadt für Alle;"Eine Stadt für Alle
Was macht Bamberg zur Smart City? Die Meisten von uns nutzen schon jetzt täglich ihre smarten Helfer in allen Lebenssituationen. Die Coronabeschränkungen zwingen uns förmlich in den Weg zur Digitalisierung unseres Alltags: Videochat, online Bestellung aller lebenswichtigen und lebensunwichtigen Güter, Teilhabe an Bildungs- und Kulturveranstaltungen im Internet und via Streamingsdienste usw. Sollte in 4 Wochen die Corona App helfen Infizierte und deren Kontaktpersonen zu identifizieren, zu benachrichtigen und zu isolieren, so wäre das ziemlich smart, aber nicht Bamberg und City spezifisch. Der Weg zu echten Smart City führt nicht über eine kreative Ideensammlung möglicher Anwendungen für den Alltag, sondern über die Frage: Wo können wir durch smarte Anwendungen die Folgekosten, die bei der Realisierung unserer existentiellen Bedürfnisse entstehen, minimieren und so die Lebensqualität erhöhen und gleichzeitig verhindern, dass Einzelne ihre Bedürfnisse überhaupt nicht befriedigen können. Um das Bedürfnis nach sozialer Nähe, persönlichem Kontakt und direkter Kommunikation zu befriedigen, müssen wir Menschen im Café oder Zuhause treffen. Die lebenswerte Stadt bietet vielfältige Attraktionen: den Besuch des Theaters, des Kinos, der Ausstellung. Zur Sicherung unserer materiellen Existenz finden wir in der Stadt Arbeitsplätze und Einkaufsmöglichkeiten. Die damit verbundene Notwendigkeit zur persönlichen Mobilität verursacht Verkehr und damit Kosten für das Gemeinwesen: Verbrauch von Energie, Beeinträchtigung der Luft, Platz für Straßen und Autos, Staus und Störungen im Verkehrsablauf, Unfälle und Verkehrstote etc. Wir können diese Kosten reduzieren indem wir, wie aktuell, zuhause bleiben und virtuell die VHS besuchen oder in der smarten City den Verkehr smart beeinflussen: smarte Parkplatzsuche, smarte Übergänge vom Auto zum ÖPNV, smartes Carsharing, um die Zahl der Autos zu reduzieren und Platz für Grünes zu schaffen etc. Nicht jedem fällt die Teilhabe am städtischen Leben (hier als Sammelbegriff für unsere existentiellen Bedürfnisse) leicht. Vielfältige Barrieren türmen sich wie Mauern auf. Auf dem Weg zur Smart City müssen wir diese Barrieren und Lebenslagen identifizieren und dafür Smartes anbieten: Wie können wir das Leben von Menschen mit Handicaps erleichtern und deren Teilhabe ermöglichen. Welche Barrieren identifizieren wir für Rollstuhlfahrer, Sehbehinderte, Alte, Arme, allein Erziehende, Ängstliche und welche smarten Features könnten hier für erleichterte Mobilität, erleichterten Einkauf, mehr Sicherheit, soziale Kontakte oder selbstbestimmtes Wohnen sorgen. Der virtuelle VHS Besuch sollte eine Option für alle sein, die den persönlichen Besuch der Veranstaltung nicht realisieren können, aber nicht Zukunft und Ziel der VHS sein. Persönliche Begegnung ist überlebenswichtig und macht eine Stadt lebenswert und attraktiv. ";"1. Einigung darüber, was macht Bamberg lebenswert
2. Welche Kosten und Barrieren müssen beseitigt werden
3. Was brauchen wir an digitaler infra-Struktrur, was an smarten Features "
Verwaltung;Leitfaden für Smarte Pflege;Entwicklungen werden häufig von Technikern vorangetrieben. Motto: wir machen das, weil wir es können. Nicht von der Frage: Welchen Nutzen wollen wir generieren, welches Problem wollen wir lösen ;Ein Leitfaden, der sytematische Bedarfe der Pflege erfasst (z.B. orientiert an den AEDLs) strukturiert smarte Technikentwicklung an den Bedürfnissen der älteren Menschen mit Unterstützungsbedarf 
Verwaltung;Ombudstelle für pflegende Angehörige;die Träger von Pflegeeinrichtungen werden entscheiden, welche Prozesse digitalisiert werdn und wo smarte Technik zum Einsatz kommt. Wie sich diese Entscheidungen auf das Leben der Betroffenen und deren Angehörigen auswirkt ist unklar, sicher aber wird es Menschen geben die sich schwer tun damit umzugehen ;Eine Ombudsstelle für pflegende Angehörige könnte eine Anlaufstelle sein, an die sich Menschen wenden können, um ihr Recht auf analoge Pflege leichter durchzusetzen 
Verwaltung;Gütesiegel für Netzwerkplattformen;"Mittlerweile gibt es Dutzende von Plattformen, die ""gute Nachbarn"" einbinden und soziale Kontakte und Hilfe fördern. Allerdings wächst damit die Gefahr von Wildwuchs und Missbrauch ";Ein kommunales Gütesiegel prüft Qualität und Redlichkeit des Angebotes 
Verwaltung;Smarte Informations und Qualifizierungsoffensive für die Pflege;Die Nutzung smarter Technik ist keine Frage des Geldes und der Kosten. Wohnumfeld verbessernde Maßnahmen zahlt in der Regel die Pflegekasse. Problematisch ist das mangelnde Wissen bei allen Beteiligten und damit eine unnötige Skepsis und Angst ;Durch systematische Aufklärung, Schulungen und Begleitung können diese Vorbehalte entkräftet und der Einsatz sinnvoller smarter Technik gefördert werden 
Barrierefreiheit;Schüler*innen helfen Senior*innen am Smartphone;Bürger*innen haben zum Teil gute Ausrüstung (Smartphone, PC, ...) können die Möglichkeiten aber nur begrenzt ausschöpfen. ;"ein bis zweimal persönlicher Kontakt zwischen Schüler*in und zu unterstützender Person, für jeweils circa 30 Minuten. Es müßte eine virtuelle Platform eingerichtet werden, auf der sich ""Helfer*innen und zu unterstützende Person begegnen können um direkten Kontakt aufzunehmen. "
Mobilität;"die Lange Strasse nach und nach ""autofrei"" machen";Geschäftsleute, Ärzt*innen beklagen fehlende Parkmöglichkeiten in der Lange Strasse. ;"Bürger*innen beantragen online bei der Stadt Bamberg zeitlich begrenzte ""Park-Slots"" für ein bestimmtes Datum um in einem Geschäft einkaufen zu können , eine Praxis aufsuchen zu können, etc. Die Genehmigung müssen sie ausdrucken und sichtbar in ihr Fahrzeug legen. Eventuell Mengenbegrenzung "
Verwaltung;Haltbare Lebensmittel nicht wegschmeißen, sondern an Bedürftige weitergeben;;
Mobilität;Bergverbindung;Bergverbindung: die Sutte ist hoffnungslos überlastet mit dem Durchgangsverkehr! Ob die Stadt nicht doch noch eimal darüber diskutiert, ob eine Umgehungsstraße, gegebenenfalls mit Tunnel,  dieses Problem auf lange Zeit löst?;
Digitalisierung;"Konzertierete Aktion ""Videokonferenz- und Online-Unterricht-Systeme/Home-Office-Initiative""";Corona als Chance auf mehr Nachhaltigkeit und Ressourcenschonung ;In der Stadtverwaltung und deren Tochtergesellschaften sowie den von uns ausgestatteten Schulen gibt es durch Corona einen großen Nachfrage-Schub nach Video-Besprechungen, Online-Unterricht und Homeoffice. Diese kann mit Bordmitteln des EDV-Amtes nicht erfüllt werden. Es fehlt an ausreichend Personal und an Geld für Hardware, Software und Lizenzen. Der städtische Systempool ist diesbezüglich noch sehr unterentwickelt. Zentrale Angebote müssen hier gemacht werden, nicht zuletzt auch deshalb, weil ausschließlich datenschutzrechtlich und informationssicherheitsmäßig geprüfte Systeme eingesetzt werden sollten (viele z.Z. angebotenen Produkte wie z.B. Zoom sind das nicht). Die entsprechenden Vorgaben für Ausschreibungen sind vom Bundesamt für die Sicherheit in der Informationstechnik am 16.04.2020 veröffentlicht worden. Nun gilt es schnell zu handeln, damit diese große Chance nicht verschenkt wird. Über den sog. Digitalpakt gibt es dazu sogar staatliche Fördermittel. Im Endeffekt könnten Pendler beispielsweise aus Ebern, Bad Staffelstein oder Schlüsselfeld an etlichen Tagen komplett von Zuhause aus arbeiten und deshalb das Auto stehen lassen. Schüler erhalten weiterhin Unterricht von Zuhause aus, müssen also auch in der Normalzeit nicht mehr 5 Tage pro Woche nach Bamberg kommen. Würde nur z.B. dauerhaft der Freitag zum Digitalunterrichtstag, so fielen 20 % aller Schulbusfahrten weg. Ganz nebenbei wird dadurch die Digitalkompetenz der Schüler*innen dauerhaft sehr gestärkt.
Barrierefreiheit;SMART-Home Lösungen;Im Zuge des demographischen Wandels wird es zunehmend schwierig sein, den Bedarf stationärer Pflegeplätze sicherzustellen. Das Ziel muss daher weiterhin sein, dass jede und jeder möglichst lange selbstbestimmt zu Hause wohnen und leben kann. Technische Hilfsmittel und digitale Lösungen für ein inklusives Wohnen sind ein Baustein, um dies zu erreichen. Hierzu gibt es bereits einige gute Lösungen, leider haben nur wenige das Knowhow und die Beratungskompetenzen, um ältere Bürger*innen und ihre Angehörigen in der Angelegenheit zu beraten und somit zu Lösungen zu verhelfen. ;Train-the-Trainer Programm zum Thema SMART- Home (technisch-digitale Hilfsmittel). Experte*in schult und begleitet Beratungsstellen sowie ambulante Dienste, um SMART-Home-Lösungen besser zu implementieren. Zudem wird ein regionales Netzwerk aufgebaut, welches Lösungen für Bürger*innen anbieten und bekanntmachen kann. 
Digitalisierung;Nachbarschaftshilfe APP;"Nachbarschaftshilfen ermöglichen ebenfalls niederschwellige Unterstützung im Quartier, um allen zu helfen, aber v.a. um älteren Mitbürger*innen Hilfe anbieten zu können. Ziele sind
a), dass ältere Mitbürger*innen möglichst lange selbstbestimmt zu Hause wohnen können
b) , dass die Gemeinschaft und der Zusammenhalt in der Nachbarschaft und im Quartier wächst
c) dass unter dem Motto ""Teilen statts Besitzen"" mehr Dinge geteilt werden, um Ressourcenverbrauch zu mindern und Nachhaltigkeit zu fördern.

Bei Nachbarschaftshilfe ist die allerdings die Koordination und Organisation schwierig: wer bietet was an, wer ist wann verfügbar, etc.";Entwicklung und+E71 Nutzung einer Bamberg-App für Nachbarschaftshilfen, um schnelle Hilfen und Unterstützungen in der Nachbarschaft zu organisieren und vermittelbar zu machen. Die App richtet sich an die Bürger*innen in den Stadtteilen selbst, aber auch an zentrale Mulitplikator*innen im Stadtteil (z.B. Quartiersmanager*in, Bürgervereinsvertreter*in, Kirchengemeinde, etc.), die alle Bürger*innen unterstützt an die passende Hilfe/Unterstützung zu kommen, falls (noch) keine ausreichende digitale Kompetenz vorhanden ist. 
